,Answer.favoritechain1,Answer.favoritechain2,Answer.favoritechain3,Answer.favoritechain4,Answer.favoriteitem1,Answer.favoriteitem2,Answer.favoriteitem3,Answer.favoriteitem4,Answer.option1,Answer.option2,Answer.option3,Answer.option4
0,red lobster,olive garden,wendys,mcdonalds,Cheddar Bay biscuits,Salad,Frosty,Grilled chicken salad,,,,
1,chick-fil-a,burger king,mcdonalds,panera bread,Chicken salad,Double whopper,Chicken sandwich,Turkey sandwich,,,,
2,NOMATCH Cook Out,chick-fil-a,wendys,taco bell,Cheeseburger,Chicken Nuggets,Junior Bacon cheeseburger,Beef Chalupa,,Chick Fil A sauce,,
3,mcdonalds,burger king,wendys,chick-fil-a,Mc nuggets,whoopper,Coffe,spice chicken sandwich,,,,
4,wendys,burger king,chick-fil-a,subway,Bacon cheese burger,Bacon Cheese Whooper,"Chicken delux sandwhich (which I know was the example, but it is for real my favorite)",Footlong steak and cheese,I like to get the sriracha dipping sauce,Always gotta get fries,Buffalo dipping sauce,"Pepperjack cheese, toasted, with lettuce, tomatoes, banana peppers, and chipotle southewest sauce"
5,chick-fil-a,wendys,mcdonalds,chipotle,Deluxe Chicken Sandwich,Baconator,Big Mac,Carnitas Burrito,Chick-fila sauce,,,
6,red robin,outback,NOMATCH carrabbas,NOMATCH longhorn steakhouse,Chocolate Shake,cheese fries,pizza,hamburger,,,,
7,NOMATCH Gyu-Kaku Japanese BBQ,NOMATCH Gen bbq,popeyes,five guys,bbq,miso belly,chicken sandwich,burger,yozu sauce,no,,
8,mcdonalds,subway,cheesecake factory,NOMATCH California Pizza Kitchen,McDouble,Vege whole roll on Italian bread,Lunch special: salad/pizza,All on thin crust,,,,
9,mcdonalds,kfc,burger king,subway,Crispy mc Bacon,Chicken nuggets,Bacon King Ranch 3.0,Sandwitchs,Chili sauce,BBQ sauce,Ranch sauce,Any Sauce
10,culvers,five guys,wendys,taco bell,Ice cream,Burger,Baconator,Burrito,,,,
11,taco bell,wendys,NOMATCH Bill Gray's,mcdonalds,Cheesy Gordita Crunch,Junior Bacon Cheeseburger,Grilled Chicken Sandwich,Fries,,,,
12,wendys,arbys,mcdonalds,burger king,Chili,turkey club on whole wheat,filet-o-fish,chicken sandwich,"onions, cheese",,,
13,wendys,jack in the box,burger king,mcdonalds,spicy nuggets,tacos,whopper,spicy mccchicken,,taco sauce,,
14,mcdonalds,burger king,taco bell,NOMATCH china moon,chicken nugget,double wooper,chicken taco,chicken brocoli,,,,
15,chick-fil-a,NOMATCH Boston Market,chipotle,NOMATCH Pollo Tropical,Chicken Deluxe Sandwich,Turkey plate,Chicken Bowl,Family Platter,Colby Jack Cheese,Steamed Vegetables,,Fried Yucca
16,kfc,mcdonalds,burger king,pizza hut,Chicken  nuggets spicy,Burger meat,Chicken burger,Pizza,"Finger chips, Pepsi",Pepsi,Pepsi,Pepsi
17,cheesecake factory,wendys,chilis,burger king,Peanut Butter Cheesecake,Chicken Sandwich,Burger,Breaded Chicken Sandwich,,,,
18,mcdonalds,burger king,kfc,subway,mc double,whopper,chicken,cold cut,mac sauce,no,,
19,NOMATCH Camila's Brazilian Restaurant,NOMATCH Tony's Brazilian Grill,NOMATCH Agave Azul Orlando,NOMATCH Venetian Pizza Orlando,meat with potato,Roast beef,taco,pizza,none,none,none,none
20,zaxbys,popeyes,mcdonalds,wendys,Big Zax Snack Meal,Original Chicken Sandwich,Spicy Crispy Chicken Sandwich,Vanilla Frosty,,,,
21,kfc,NOMATCH Meat and eat,NOMATCH Dindugul thalapakatti,NOMATCH A2b,Crispy fried  chicken,Burger,Briyani,Curd vadai,Ketchup,,,
22,NOMATCH Captain D's,raising canes,wendys,sonic,Cod fish,Chicken Finger Combo,Baconator,Mozzerella Sticks,Tartar Sauce,There special chicken sauce,add bacon,Marinara Sauce
23,mcdonalds,arbys,panda express,NOMATCH Sonnys BBQ,Cheeseburger,Beef and cheddar sandwich,Sweet and Sour Chicken,Sliced Beef Sandwich,No onions,bbq sweet sauce,chicken fried rice,Sonnys Sweet BBQ sauce
24,pizza hut,jack in the box,burger king,chick-fil-a,Pepperoni Pan Pizza,Chocolate Milk Shake,Whopper,Waffle Fries,,,,
25,jack in the box,NOMATCH A&W,arbys,wendys,Ultimate Cheeseburger,Papa Burger,Traditional Greek gyro,Baconator,n/a,n/a,n/a,n/a
26,mcdonalds,popeyes,burger king,NOMATCH white castle,big mac,POPCORN chicken,cheesebuerger,small dollar hamburgers,bacon,sauces,none,none
27,pf changs,carls jr,kfc,chick-fil-a,Spicy Lettuce Cups,Santa Fe Chicken sandwich,Original recipe fried chicken,Grilled chicken sandwich,House sauce,,,Polynesian sauce
28,wendys,chick-fil-a,NOMATCH Hardees,subway,Chili,Nuggets,Chicken tenders,Steak sub,Hot sauce,Salt,BBQ sauce,Xtra cheese
29,chick-fil-a,chipotle,taco bell,NOMATCH jimmy johns,spicy chicken sandwich,chicken burrito bowl,spicy potato soft taco,italian night club sub,,,,
30,burger king,zaxbys,taco bell,wendys,Whopper,hot wings,7 layer burrito,chicken sandwhich,onion rings,,,
31,texas roadhouse,popeyes,wendys,mcdonalds,Mushroom steak,Chicken Sandwich,Bacon Cheeseburger,Chicken nuggets,,,,
32,wendys,arbys,mcdonalds,taco bell,Spicy Chicken Sandwich,Roast Beef Sandwich,Cheeseburger,Nachos Bell Grande,,,,
33,chipotle,wendys,applebees,NOMATCH Buffalo Wild Wings,Bean Burrito,4 for 4,Chicken Alfredo,Party Tacos,,,,
34,chick-fil-a,wendys,burger king,mcdonalds,Grilled chicken wrap,Baked potato,Whopper,Big Mac,Chickfila sauce,Sour cream and chives,,
35,NOMATCH Stone fire,NOMATCH bread,NOMATCH pastra,NOMATCH salad,pizza,chicken salad,chicken salad,bread,juice,soda,bread,juice
36,NOMATCH Walmart,NOMATCH Walgreen,chick-fil-a,NOMATCH Dollar general tree store,Sanwhich,Veage sandwhich,chicken deluxe sandwich,Chicken gravy,Tomato sauce,chilli sauce,Sauce,NO
37,mcdonalds,taco bell,arbys,wendys,BigMac,Beef burrito,buffalo chicken sandwich,classic delux,extra pickles,extra beef,na,na
38,texas roadhouse,jack in the box,mcdonalds,cheesecake factory,Steak,Jack's Spicy Chicken,Hot n Spicy Chicken Sandwich,Tiramisu Cheesecake,As Is,As Is,add tomato,As Is
39,mcdonalds,chick-fil-a,taco bell,NOMATCH Chicken Express,Triple Cheeseburger,Chicken Sandwich,Quesorito,Chicken tender meal,Nope,Chick Fil A sauce,Nope,Nope
40,kfc,mcdonalds,NOMATCH Burgerlounge,NOMATCH Lebanese flower,Fried chicken,Chicken cheesy burger,Double cheese chicken burger,Chicken kabab mixed,French fries,,,
41,kfc,mcdonalds,NOMATCH XinXian,starbucks,Thai soup thik,Sub sandwich,Fried rice,Cold coffee,,,,
42,texas roadhouse,NOMATCH Outback Steak House,olive garden,NOMATCH Godfather's Pizza,Porterhouse Steak,The French Onion Soup,The Zuppa Toscanno Soup,Large Pepperoni Pizza,Mushrooms,"Yes, Love the unlimited bowl","Yes, Unlimited bowls.",No
43,burger king,taco bell,sonic,mcdonalds,Impossible Whopper,Potato Soft Taco,Tater Tots,Apple Pie,,,,
44,olive garden,wendys,mcdonalds,cheesecake factory,Create my own pasta dishes,Double cheese burger,McChicken,Cheesecake,Extra cheese,,,
45,mcdonalds,dominos,pizza hut,taco bell,Basket of Fries,Wisconsin six cheese,original cheese pizza,XL grilled stuffed burrito,No,no,no,mild sauce
46,chick-fil-a,chipotle,wendys,culvers,Grilled Chicken Sandwich,Tacos,grilled Chicken,Grilled Chicken sandwich,Waffle Fries,Guac,Baked Potato,Frozen custard
47,mcdonalds,kfc,dominos,burger king,Big Mac,Zinger Burger,Meat Feast,Whopper,,,,
48,mcdonalds,burger king,pizza hut,dominos,Big Mac,Whopper,Pepperoni Pizza,Hawaian Pizza,,,,
49,mcdonalds,arbys,pizza hut,NOMATCH Kentucky Fried Chicken,crispy chicken sandwich,Beef and cheddar sandwich,Supreme stuffed crust pizza,2 piece fried chicken meal,no,Arby's sauce,no,coleslaw and potatoes and gravy
50,panera bread,NOMATCH Moe's,wendys,chick-fil-a,Fuji Apple Chicken Salad,Stacks,Spicy Chicken Sandwich,Grilled Chicken Sandwich,,,,
51,chick-fil-a,arbys,NOMATCH Cook Out,mcdonalds,Regular Chick-fil-a sandwich,Curly Fries,Bacon Cheeseburger,Chicken McNuggets,Chick-fil-a sauce and pickles,,"Lettuce, tomato, light onion, mayo, mustard, ketchup, pickles, and a napkin!",Sweet 'n' Sour sauce
52,kfc,mcdonalds,taco bell,burger king,friend chicken,big mac,tacos,whopper,,,,
53,chilis,NOMATCH Captain D's,NOMATCH Ihop,mcdonalds,Triple Dipper,3 piece fish meal,Breakfast sampler,10-piece McNuggets,,,,Sweet and sour sauce
54,mcdonalds,wendys,olive garden,chick-fil-a,french fries,chicken nuggets,bread sticks,chicken sandwich,,honey mustard,alfredo sauce,chick-fil A sauce
55,NOMATCH Lions Choice,NOMATCH Denny's,panda express,mcdonalds,The roast beef sandwich,The Grand Slam Breakfast,Orange Chicken,Big Mac,horseradish,No,Hot Mustard,No
56,NOMATCH Modern Market,NOMATCH Sweetgreen,NOMATCH Lou Malnatis,NOMATCH Rudys BBQ,Smoky Chicken Bowl,Crispy asian salad,Deep dish pizza,BBQ brisket,guac,none,no,creamed corn
57,burger king,subway,mcdonalds,chick-fil-a,Big burger,Tuna sandwich,Cheese burger,Chicken sandwich,,"pickles, olives, tomatoes",,
58,"NOMATCH Chick fill A,",mcdonalds,subway,NOMATCH United states of america,"Chicken tikka, pizza",french fries,burger,tomato ketchup,"Soya sauce, ,",chilli sauce,,
59,NOMATCH Whole Hog Cafe,chick-fil-a,NOMATCH in-n-out,burger king,BBQ Nachos,macaroni and cheese,double double,original chicken sandwich,Jalapenos,no,extra pickles,
60,applebees,taco bell,red robin,dairy queen,Fiesta Lime Chicken,Crunch Wrap Sepreme,Fries,Blizzards,,,,
61,mcdonalds,NOMATCH A&W,pizza hut,burger king,Junior Chicken,Chicken buddy burger,Hawaiian pizza,Chicken fries,,,,
62,dominos,NOMATCH potbelly,subway,NOMATCH Nandini,Veg and cheese pan pizza,mushroom sandwich,5foot burger,biryani,extra cheese and olives,extra cheese,extra olives anf cheese,extra raita
63,mcdonalds,wendys,chick-fil-a,chipotle,fries,baocnator,chicken strips,burrito,,,,
64,culvers,chilis,mcdonalds,burger king,butterburger,blooming onion,big mac,whopper,"lettuce, tomato",sauce,,
65,kfc,NOMATCH Pizza inn,burger king,NOMATCH Creamy inn,chicken,pizza,burgers,ice cream,with fries and cold coke,,cold coke,butterscotch cake
66,olive garden,NOMATCH Din Tai Fung,taco bell,NOMATCH Gen's Korean BBQ,Zuppa Toscano,Xao Long Bao,Cool Ranch Doritos Taco,spicy pork bulgogi,grated parmesan cheese,,,
67,chick-fil-a,mcdonalds,burger king,applebees,Bacon sandwich,Oreo milkshakes,Vanilla Ice Cream,Fiesta Lime Chicken,Cheddar,Fries,No,No
68,kfc,taco bell,mcdonalds,wendys,KFC Famous Bowl,Cheesy Fiesta Potatoes,Chicken Nuggets,4 for 4,,,Honey Mustard,Honey Mustard & chocolate frosty
69,mcdonalds,taco bell,NOMATCH Steak n Shake,NOMATCH Long John Silvers,Chicken McNuggets,Hard Tacos,Double Steakburger,Super Sampler Platter,Ketchup,Fire Sauce,,Cocktail sauce
70,starbucks,taco bell,chick-fil-a,kfc,chicken fried rise,Noodles,BURGER KING,Arby's Roast Beef Sandwich,sauces fruit salad,pasta sauces,,
71,starbucks,mcdonalds,kfc,pizza hut,chicken stripes,french fries,chiken wings,chicken rolls,sauce,,tomota sause,
72,NOMATCH the habit grill,mcdonalds,burger king,wendys,charburger,mcchicken,burger,chili,,,,
73,taco bell,subway,arbys,mcdonalds,soft tocos,meatball sub,pizza slider,"mc rib (when they had them,havent ate from their since they quit selling them)",sour cream,,mc donalds,
74,NOMATCH pig minds,NOMATCH tom and jerrys,NOMATCH happy wok,NOMATCH noodles and company,buffalo soy based pasta bowl,mozzarella sticks,spicy egg fried rice,buffalo mac bowl,garlic bread,fries,soy sauce,extra buffalo
75,wendys,mcdonalds,chick-fil-a,burger king,spicy nuggets,regular nuggets,spicy chicken sandwhich,nuggets,,,bbq,
76,red lobster,jack in the box,wendys,cheesecake factory,Admiral's Feast,Bacon Ultimate Cheeseburger,Baconator,Oreo Cheesecake,,,,
77,taco bell,wendys,mcdonalds,burger king,Crunchwrap supreme,Jr Bacon Cheesburger,Chicken Mcnuggets,Whopper,,,Sweet and sour sauce,
78,wendys,NOMATCH Rosati's,raising canes,chick-fil-a,Grilled chicken sandwich,thin crust sausage and mushroom pizza,chicken strips,chicken nuggets,smoked honey mustard,,Raising Canes special sauce,chick-fil-a sauce
79,wendys,mcdonalds,burger king,chick-fil-a,Baconator,big mac,whopper,chicken sandwich,Extra bacon,big mac sauce,pickles,pickles
80,olive garden,chipotle,panda express,NOMATCH Jimmy Johns,Lasagna Fretta,Chipotle Bowl,Crispy Shrimp,The Veggie,,Tacos,Veggie Spring Roll,
81,chipotle,dairy queen,chick-fil-a,burger king,Burrito bowl,Footlong hotdog,12 piece Chicken nuggets,Original chicken sandwhich,,relish,Honey mustard,
82,NOMATCH 5 Guys,cheesecake factory,olive garden,wendys,Bacon Cheeseburger,Seafood Gumbo,Shrimp and Chicken Carbonara,Baconator,plain,rice on the side,hold red peppers,plain
83,chick-fil-a,chilis,NOMATCH Cracker Barrel,NOMATCH Longhorns,Spicy grilled chicken sandwich,Chips & Salsa,Grilled chicken tenderloins,Grilled shrimp,,,Grilled sourdough bread,
84,mcdonalds,jack in the box,in and out,burger king,coffee,ultimate cheeseburger,cheeseburger,Mozzarella Sticks,creamer,fries,animal style fries,Marinara Sauce
85,dominos,in and out,wendys,chick-fil-a,Pan pepperoni pizza,Plain hamburger,Plain hamburger,Garden salad,,,,
86,mcdonalds,starbucks,wendys,NOMATCH Dunkin,4 Piece Chicken McNuggets,Skinny Vanilla Latte,Maple Bacon Chicken Croissant,Fudge Croissant Donut,,,,
87,arbys,zaxbys,burger king,subway,beef and cheddar,kickin chicken sandwich,whopper,cold cut sub,none,none,none,sweet onion
88,chick-fil-a,dominos,NOMATCH Canes,NOMATCH Mr. Gattis,Chicken Minis,Pepperoni & Bacon Pizza,Box Combo,Cheese Sticks,,,,
89,chick-fil-a,NOMATCH Cookout,NOMATCH Giordanos,NOMATCH Faziolis,Mac and cheese,Cheese quesadilla,Deep dish pizza,Spaghetti,Polynesian sauce,Salt,Ranch,No
90,mcdonalds,five guys,burger king,NOMATCH Taco Mac,Fillet fish sandwich,Kosher hotdog.,Big Fish sandwich.,Veggie Burrito.,,French fries.,,
91,wendys,chick-fil-a,NOMATCH Wataburger,mcdonalds,6-piece nuggets,12-piece nuggets,Patty Melt,Big Mac,Sweet and sour sauce,Polynesian sauce,,BBQ Sauce
92,burger king,mcdonalds,taco bell,chick-fil-a,Double Bacon Whopper,Caramel Frappe,Beefy Burrito,Chick-fil-A Sandwich,cheese,extra whip cream,sour cream,cheese
93,NOMATCH Nandos,pf changs,five guys,mcdonalds,Grilled peri peri half chicken,Sesame chicken,Cheeseburger,Big tasty,"Xtra hot sauce, chips and slaw",Rice,"Milk shake, fries","Mil shake , friies"
94,in and out,mcdonalds,popeyes,burger king,double double,sausage mcmuffin with egg,The chicken sandwich,the whopper,none,extra hashbrown,no,no
95,popeyes,mcdonalds,bonefish grill,NOMATCH Moes southwest grill,Chicken sandwich,Quarter pounder,Bang bang shrimp,Tofu quesadilla,,,,
96,wendys,mcdonalds,taco bell,chipotle,Double Burger,McDouble,Chalupa Supreme,Steak Burrito,no,no,no,no
97,burger king,mcdonalds,wendys,kfc,Whopper,Big Mac,Bacon Cheeseburger,Fried Chicken,,,,
98,chipotle,taco bell,burger king,sonic,Chicken bowl,Chipotle Chicken,Jalepeno poppers,Ocean Water,Guacomole,,ranch,none
99,taco bell,wendys,mcdonalds,burger king,Soft Taco,Spicy Chicken Sandwich,Filet-O-Fish Sandwich,Original Chicken Ssndwich,Spicy sauce,,,
